"Date","BGN","CAD","CNY","EUR","GBP","HRK","ILS","SGD","USD"
"2019-05-27",0.0250535567,0.0192686689,0.0989088778,0.0128097426,0.0113073867,0.0950837343,0.0516642414,0.0197174544,0.0143381941
"2019-05-28",0.0250701365,0.0193018245,0.0988754553,0.0128122231,0.0113038254,0.0951458125,0.0516956024,0.0197303628,0.0143084586
"2019-05-29",0.0251526211,0.0193549671,0.0990255565,0.0128594408,0.0113402472,0.0954441092,0.0517836203,0.0197765835,0.0143212063
"2019-05-30",0.0251065627,0.0193253025,0.0986120346,0.0128363865,0.01133135,0.0952414902,0.0519000407,0.0197203495,0.0142874165
"2019-05-31",0.0251683386,0.0194646649,0.0992387772,0.0128340203,0.0113721369,0.095536211,0.052143049,0.0197457743,0.0143716423
"2019-06-01",0.0251682827,0.0194649877,0.0992402649,0.0128338509,0.0113720977,0.0955356526,0.0521436723,0.0197459559,0.0143717745
"2019-06-02",0.0250991869,0.0194325326,0.0992409681,0.0128624674,0.0113713939,0.0952969169,0.0521438835,0.0197511553,0.0143717931
"2019-06-03",0.0251432026,0.0194331688,0.0998076272,0.0128551658,0.0114161644,0.0953425883,0.0523749378,0.0197551153,0.0144565139
"2019-06-04",0.024979988,0.0192502928,0.0993014463,0.0127730147,0.011316371,0.094759173,0.0520298073,0.0196432732,0.0143738279
"2019-06-05",0.0250127623,0.0192749839,0.0992151606,0.0127889119,0.0113181726,0.0948333859,0.0517376536,0.0196226366,0.0143598831
"2019-06-06",0.0250018235,0.0192538388,0.0996107371,0.0127839504,0.011353405,0.0948607034,0.0518401191,0.0196697118,0.0144150087
"2019-06-07",0.0248798369,0.0191489892,0.099579586,0.0127068114,0.0113118204,0.094342029,0.0515232999,0.019625419,0.0144110638
"2019-06-08",0.0248797258,0.0191490478,0.0995784206,0.0127066105,0.011311914,0.094342184,0.0515237903,0.0196251872,0.0144109994
"2019-06-09",0.0248918886,0.0191329666,0.099628832,0.0127374806,0.0113331468,0.0943889656,0.0515485664,0.0196582221,0.0144182115
"2019-06-10",0.0248571108,0.0190782636,0.0996796848,0.0127070497,0.0113324828,0.0942520295,0.0514848501,0.0196417238,0.0143813234
"2019-06-11",0.0248773281,0.0191380134,0.099591879,0.0127192896,0.0113250237,0.0942947927,0.0516090182,0.0196518572,0.0144095271
"2019-06-12",0.0248442697,0.0191296028,0.0992383648,0.012702575,0.0113018088,0.0941443958,0.0513879635,0.0196054186,0.0143447635
"2019-06-13",0.0248348717,0.0190875864,0.099131255,0.012696415,0.0112952179,0.0941309692,0.0515667443,0.019572506,0.0143213109
"2019-06-14",0.0249669334,0.0192464028,0.0991040135,0.0127342479,0.0113670789,0.0943343766,0.0515258445,0.019622038,0.0143099123
"2019-06-15",0.0249251585,0.0192597444,0.0991719537,0.012743029,0.0113709231,0.0941890127,0.0515600795,0.0196354912,0.0143196191
"2019-06-16",0.0249436892,0.0192196082,0.0992472598,0.0127761478,0.0113783737,0.0942583214,0.0515985554,0.0196500893,0.014330265
"2019-06-17",0.0248546418,0.0191273032,0.0987702807,0.0127054737,0.0113713954,0.0940842504,0.051475743,0.0195474202,0.0142605912
"2019-06-18",0.0250361943,0.0191682892,0.0989364852,0.012798637,0.0114053249,0.0947933808,0.0517422994,0.01958806,0.0143315384
"2019-06-19",0.0248958358,0.0189828531,0.0987541211,0.0127342907,0.0113035712,0.0942548357,0.0514346675,0.0194930887,0.0143043344
"2019-06-20",0.0248088035,0.0188889148,0.0981711527,0.01268435,0.0112745798,0.0938975719,0.0513223687,0.0194280373,0.0143269329
"2019-06-21",0.0247214268,0.0190305332,0.0987332236,0.0126118583,0.0112790297,0.093576525,0.05205203,0.0194769172,0.0143716692
"2019-06-22",0.0247208444,0.0190303062,0.0987333393,0.0126117079,0.0112790389,0.0935744028,0.0520508343,0.0194768286,0.0143714978
"2019-06-23",0.0247213328,0.0189732284,0.0987344283,0.012624387,0.0112718665,0.0935767133,0.0520519911,0.0194572672,0.0143716981
"2019-06-24",0.0246493789,0.0189381985,0.0987902922,0.0126011412,0.0112765576,0.0932285063,0.0517315903,0.019440394,0.0143648585
"2019-06-25",0.0247042799,0.018921752,0.0987799333,0.012629529,0.0113142282,0.0934325846,0.0515953675,0.0194485328,0.014357611
"2019-06-26",0.0247022825,0.0188522938,0.098834125,0.0126295343,0.0113141344,0.093378311,0.0515528456,0.0194554787,0.0143649658
"2019-06-27",0.0248101291,0.0188864179,0.0991861441,0.0126833447,0.0113781178,0.0938084648,0.0515237263,0.0195163882,0.0144223974
